state,legality,year
Alaska,1,2011
Alabama,0,2011
Arkansas,0,2011
Arizona,1,2011
California,1,2011
Colorado,1,2011
Connecticut,1,2011
Delaware,1,2011
Florida,1,2011
Georgia,1,2011
Hawaii,1,2011
Iowa,1,2011
Idaho,0,2011
Illinois,1,2011
Indiana,0,2011
Kansas,1,2011
Kentucky,0,2011
Louisiana,0,2011
Massachusetts,1,2011
Maryland,1,2011
Maine,1,2011
Michigan,1,2011
Minnesota,1,2011
Missouri,0,2011
Mississippi,0,2011
Montana,1,2011
North Carolina,1,2011
North Dakota,1,2011
Nebraska,1,2011
New Hampshire,1,2011
New Jersey,1,2011
New Mexico,1,2011
Nevada,1,2011
New York,1,2011
Ohio,1,2011
Oklahoma,0,2011
Oregon,1,2011
Pennsylvania,1,2011
Rhode Island,1,2011
South Carolina,1,2011
South Dakota,0,2011
Tennessee,0,2011
Texas,0,2011
Utah,1,2011
Virginia,1,2011
Vermont,1,2011
Washington,1,2011
Wisconsin,0,2011
West Virginia,0,2011
Wyoming,1,2011
Alaska,1,2012
Alabama,0,2012
Arkansas,0,2012
Arizona,1,2012
California,1,2012
Colorado,1,2012
Connecticut,1,2012
Delaware,1,2012
Florida,1,2012
Georgia,1,2012
Hawaii,1,2012
Iowa,1,2012
Idaho,0,2012
Illinois,1,2012
Indiana,0,2012
Kansas,1,2012
Kentucky,0,2012
Louisiana,0,2012
Massachusetts,1,2012
Maryland,1,2012
Maine,1,2012
Michigan,1,2012
Minnesota,1,2012
Missouri,0,2012
Mississippi,0,2012
Montana,1,2012
North Carolina,1,2012
North Dakota,1,2012
Nebraska,1,2012
New Hampshire,1,2012
New Jersey,1,2012
New Mexico,1,2012
Nevada,1,2012
New York,1,2012
Ohio,1,2012
Oklahoma,0,2012
Oregon,1,2012
Pennsylvania,1,2012
Rhode Island,1,2012
South Carolina,1,2012
South Dakota,0,2012
Tennessee,0,2012
Texas,0,2012
Utah,1,2012
Virginia,1,2012
Vermont,1,2012
Washington,1,2012
Wisconsin,0,2012
West Virginia,0,2012
Wyoming,1,2012
Alaska,1,2013
Alabama,0,2013
Arkansas,0,2013
Arizona,1,2013
California,1,2013
Colorado,1,2013
Connecticut,1,2013
Delaware,1,2013
Florida,1,2013
Georgia,1,2013
Hawaii,1,2013
Iowa,1,2013
Idaho,0,2013
Illinois,1,2013
Indiana,0,2013
Kansas,1,2013
Kentucky,0,2013
Louisiana,0,2013
Massachusetts,1,2013
Maryland,1,2013
Maine,1,2013
Michigan,1,2013
Minnesota,1,2013
Missouri,0,2013
Mississippi,0,2013
Montana,1,2013
North Carolina,1,2013
North Dakota,1,2013
Nebraska,1,2013
New Hampshire,1,2013
New Jersey,1,2013
New Mexico,1,2013
Nevada,1,2013
New York,1,2013
Ohio,1,2013
Oklahoma,0,2013
Oregon,1,2013
Pennsylvania,1,2013
Rhode Island,1,2013
South Carolina,1,2013
South Dakota,0,2013
Tennessee,0,2013
Texas,0,2013
Utah,1,2013
Virginia,1,2013
Vermont,1,2013
Washington,1,2013
Wisconsin,0,2013
West Virginia,0,2013
Wyoming,1,2013
Alaska,1,2014
Alabama,0,2014
Arkansas,0,2014
Arizona,1,2014
California,1,2014
Colorado,1,2014
Connecticut,1,2014
Delaware,1,2014
Florida,1,2014
Georgia,1,2014
Hawaii,1,2014
Iowa,1,2014
Idaho,0,2014
Illinois,1,2014
Indiana,0,2014
Kansas,1,2014
Kentucky,0,2014
Louisiana,0,2014
Massachusetts,1,2014
